id,rubric_id,band_id,learner_obs,ai_obs,didactic_principle,intervention,risk_flag,source,role,may_directly_set_band
MD_VA5,VA,VA5,De leerling ervaart een emotioneel intelligent systeem dat past bij de situatie.,"Het systeem past toon, tempo en stijl aan de emotionele toestand van de leerling aan.",In het Eedi/DeepMind-onderzoek was emotionele modulatie de primaire taak van de menselijke tutor. Een systeem dat dit overneemt verlaagt de noodzaak van menselijke interventie op dit vlak.,Bewaak dat dit de menselijke relatie niet vervangt.,antropomorfisering_risico,gamma_model,band_evidence_descriptor,False
MD_K0,K,K0,De leerling ervaart het systeem als technisch hulpmiddel zonder kennisbetekenis.,Het systeem biedt geen kennisinhoud.,Niet alle AI-inzet heeft een kennisdimensie.,Geen.,,gamma_model,band_evidence_descriptor,False
MD_K1,K,K1,De leerling krijgt correcte feitelijke antwoorden.,Het systeem levert gevalideerde feiten.,Feitelijke kennis is de basis voor hogere kennistypen.,Stimuleer bewerking van feiten.,,gamma_model,band_evidence_descriptor,False
MD_K2,K,K2,De leerling krijgt stappenplannen.,Het systeem levert procedures en werkwijzen.,Procedurele kennis ondersteunt vaardigheidstoepassing.,Laat de leerling de procedure ook zelf beschrijven.,,gamma_model,band_evidence_descriptor,False
MD_K3,K,K3,De leerling krijgt inzicht in verbanden.,Het systeem maakt relaties en structuren zichtbaar.,Conceptueel begrip maakt transfer mogelijk.,Test begip door toepassing in nieuwe context.,,gamma_model,band_evidence_descriptor,False
MD_K4,K,K4,De leerling krijgt inzicht in eigen leerprocessen.,Het systeem koppelt kennisinhoud aan leerstrategieën.,Metacognitieve kennis maakt zelfregulerend leren mogelijk.,Koppel aan VM4 of VM5 voor maximaal effect.,,gamma_model,band_evidence_descriptor,False
MD_K5,K,K5,De leerling ervaart een systeem dat contextueel schakelt.,Het systeem differentieert kennistype op basis van de leervraag.,Integratie van kennistypen ondersteunt rijke leerervaringen.,Behoud. Monitor of schakelen correct wordt ingezet.,,gamma_model,band_evidence_descriptor,False
MD_X0,X,X0,De leerling en docent kunnen niets over het proces inspecteren.,Het systeem levert output zonder procesverantwoording.,Black box maakt didactische controle onmogelijk.,Verhoog transparantie of beperk inzet tot lage-risico taken.,hoog_bij_substantiele_AI_bijdrage,gamma_model,band_evidence_descriptor,False
MD_X1,X,X1,De leerling krijgt retrospectieve verantwoording.,Het systeem genereert een post-hoc verantwoording.,Output-uitleg is een begin maar niet voldoende voor didactische controle.,Voeg procesmarkering toe.,,gamma_model,band_evidence_descriptor,False
MD_X2,X,X2,De leerling kan de stappen zien.,Het systeem markeert processtappen in de output.,Procesmarkering maakt het redeneerpad leesbaar.,Test of de leerling de stappen ook begrijpt.,,gamma_model,band_evidence_descriptor,False
MD_X3,X,X3,De leerling en docent kunnen elke stap controleren.,Het systeem genereert een gedetailleerd trace-log.,Volledige trace maakt didactische controle mogelijk.,Gebruik de trace actief in leerling-reflectie.,,gamma_model,band_evidence_descriptor,False
MD_X4,X,X4,De leerling en docent kunnen gericht doorvragen op specifieke stappen.,Het systeem reageert op inspectievragen over eigen proces.,Interactieve inspectie maakt kritisch gebruik mogelijk.,Integreer inspectie in het leerproces.,,gamma_model,band_evidence_descriptor,False
MD_X5,X,X5,De leerling en docent hebben actieve invloed op het systeemproces.,Het systeem accepteert correcties op beslissingen en heroverweegt op basis daarvan.,Corrigeerbaarheid is de volledige realisatie van didactische controleerbaarheid.,Behoud. Documenteer correctie-patronen.,,gamma_model,band_evidence_descriptor,False
MD_Ad0,Ad,Ad0,De leerling ervaart een vlak systeem ongeacht vraagcomplexiteit.,Het systeem reageert met gelijke diepte op eenvoudige en complexe vragen.,Geen adaptatie produceert over- of onderstimulatie afhankelijk van de vraag.,Overweeg triggergebaseerde adaptatie.,over_of_onderstimulatie,gamma_model,band_evidence_descriptor,False
MD_Ad1,Ad,Ad1,De leerling kiest zelf de modus.,Het systeem biedt twee verwerkingsmodi.,Leerlinggestuurde moduswisseling ondersteunt agency.,Borg dat de leerling de keuze bewust maakt.,,gamma_model,band_evidence_descriptor,False
MD_Ad2,Ad,Ad2,De leerling ervaart gedifferentieerde reactie.,Het systeem schakelt automatisch op basis van vraagcomplexiteit.,Automatische differentiatie bespaart cognitieve belasting.,Controleer periodiek of de trigger-logica klopt.,,gamma_model,band_evidence_descriptor,False
MD_Ad3,Ad,Ad3,De leerling ervaart een systeem dat de situatie leest.,Het systeem herkent de leercontext en stemt diepte daarop af.,Contextgevoeligheid maakt adaptatie pedagogisch betekenisvol.,Valideer of context-herkenning accuraat is.,,gamma_model,band_evidence_descriptor,False
MD_Ad4,Ad,Ad4,De leerling ervaart persoonlijk afgestemde ondersteuning.,Het systeem modelleert de leerling en past verwerkingsdiepte aan het profiel aan.,Individuele adaptatie ondersteunt de zone van naaste ontwikkeling.,Bewaak privacy van het leerlingprofiel.,privacy_leerlingprofiel,gamma_model,band_evidence_descriptor,False
MD_Ad5,Ad,Ad5,"De leerling ervaart een systeem dat soms minder geeft dan het kan, precies wanneer meer denken gewenst is.",Het systeem onderoptimaalt technische efficiëntie ten gunste van pedagogische effectiviteit.,Pedagogische adaptiviteit is minder efficiënt in technische zin maar effectiever in onderwijskundige zin.,Behoud. Documenteer wanneer het systeem bewust terughoudt.,,gamma_model,band_evidence_descriptor,False
